"Веса (events, search, view, click, cart)",STD (Меньше = Лучше),n_cart Change %,reached_cart Change %
"1, 1, 3, 1, 3",0.009222619867338975,-22.175432469913595,-1.365106180531177
"3, 2, 2, 3, 2",0.009226061494721978,-22.284570170327978,-1.3651967915476488
"2, 2, 1, 1, 2",0.009237106051734403,-22.43555475914931,-1.3651967915476488
"1, 1, 2, 2, 3",0.009240750993242276,-22.316642294315784,-1.3652494197094718
"3, 3, 3, 3, 3",0.009245243082914143,-22.28446955509272,-1.3650389073053915
"2, 1, 3, 3, 3",0.00925214039308119,-22.194302394399866,-1.364948296393584
"3, 3, 3, 2, 2",0.009252454387935283,-22.23279380515994,-1.3651967915476488
"3, 1, 3, 3, 1",0.009254648723945786,-22.092346807114772,-1.3649103134522305
"3, 1, 1, 1, 1",0.009258192535932493,-22.284852880590204,-1.3651967915476488
"1, 3, 2, 3, 1",0.00926109005325639,-22.2451176647542,-1.365106180531177
"2, 1, 2, 2, 2",0.009261422113940519,-22.230261782673228,-1.3648810234279114
"1, 1, 3, 2, 3",0.009269437990813896,-22.173620816396458,-1.365106180531177
"1, 1, 1, 2, 3",0.009269817297159182,-22.549883235293215,-1.3650768901825985
"1, 2, 3, 1, 2",0.00927380146018542,-22.146655875231414,-1.3647377847776012
"1, 2, 2, 2, 2",0.009274252297814102,-22.280955507490393,-1.3647757677122672
"3, 2, 2, 2, 2",0.009278662374643818,-22.28617411834634,-1.3651967915476488
"2, 3, 2, 3, 3",0.009282344006471432,-22.404299818153714,-1.3653400307608448
"1, 1, 1, 1, 2",0.00928449094281946,-22.420671642581187,-1.3648663784495951
"1, 3, 1, 2, 2",0.00928583839933996,-22.584169020258344,-1.3648283955498304
"2, 1, 3, 3, 2",0.009289886360533935,-22.12866411510501,-1.365106180531177
"1, 1, 1, 3, 2",0.009291572105679158,-22.411011923151857,-1.3651441634263568
"1, 1, 2, 1, 1",0.009292379725218469,-22.103124406361975,-1.3648197025055346
"1, 3, 3, 1, 1",0.009293186227866092,-22.12180171988831,-1.3647670745699947
"2, 1, 3, 2, 1",0.009300380639233115,-22.05492412924036,-1.3646091910065599
"3, 1, 1, 2, 1",0.009300473000581743,-22.28164353599486,-1.364986279305692
"3, 3, 1, 2, 3",0.009302269651119873,-22.507579620615676,-1.3650389073053915
"3, 3, 1, 1, 3",0.009305453416677715,-22.510116439962417,-1.3648283955498304
"3, 3, 2, 2, 1",0.00930690724767585,-22.263755637968526,-1.3650915353456088
"2, 3, 3, 1, 3",0.009319568590402507,-22.28933801219874,-1.3650915353456088
"1, 2, 1, 2, 3",0.009325489377961665,-22.63158448422451,-1.3650915353456088
"2, 3, 1, 1, 1",0.009326495362180423,-22.407290534398445,-1.3651441634263568
"2, 1, 3, 2, 3",0.009328369679274268,-22.198100104835497,-1.3651588086580986
"3, 1, 3, 3, 3",0.009330058148191428,-22.212857397521702,-1.3650389073053915
"1, 2, 2, 2, 1",0.009330614519186185,-22.168770832611724,-1.3650915353456088
"2, 1, 2, 2, 1",0.009343748538201607,-22.146286729685443,-1.365000924398913
"2, 3, 2, 2, 3",0.009345490248462538,-22.399682508245753,-1.365129518217186
"2, 3, 2, 1, 3",0.009348547396483138,-22.396945060319677,-1.3649716342350415
"3, 1, 3, 1, 3",0.009356910941111957,-22.21357417045343,-1.3651588086580986
"1, 1, 2, 3, 3",0.009359513714867155,-22.3069139157993,-1.3647231399152349
"1, 2, 2, 2, 3",0.00937843831993693,-22.375325385423547,-1.3650242621885547
"2, 2, 3, 2, 3",0.009380238602983529,-22.244312110418726,-1.3650915353456088
"2, 1, 2, 2, 3",0.0093913898325239,-22.307033353146892,-1.3650915353456088
"2, 3, 1, 2, 2",0.00939753901054833,-22.49310748993071,-1.3651441634263568
"1, 2, 3, 2, 1",0.009403603519200063,-22.057353060488033,-1.3647817195000216
"2, 3, 1, 2, 3",0.009406798496488834,-22.572170186520246,-1.3650389073053915
"3, 1, 3, 3, 2",0.009413751139117632,-22.153137616632442,-1.3651588086580986
"1, 2, 3, 3, 3",0.009425799334463057,-22.23033568724836,-1.3649336513465362
"3, 3, 3, 3, 2",0.009430272508179259,-22.23077444614402,-1.3651967915476488
"2, 3, 1, 1, 3",0.009435137138609037,-22.577686881316588,-1.364986279305692
"3, 3, 1, 3, 2",0.009435849594386153,-22.438136829081298,-1.3650389073053915
"2, 1, 3, 2, 2",0.009459745488331695,-22.127359046468033,-1.3651588086580986
"2, 2, 2, 2, 2",0.009461648701430223,-22.28446955509272,-1.3650389073053915
"3, 2, 3, 2, 1",0.00946426173499556,-22.139459031444378,-1.365106180531177
"1, 1, 1, 2, 1",0.00947667439585938,-22.278693113584684,-1.3650915353456088
"2, 3, 2, 1, 1",0.009481299477895885,-22.25959685034822,-1.364948296393584
"3, 2, 2, 3, 3",0.009483088679791146,-22.342510578934345,-1.3650915353456088
"1, 3, 2, 1, 1",0.009496453061674964,-22.248756882678148,-1.3648050575518922
"1, 3, 3, 3, 2",0.00949725935821114,-22.19678554419667,-1.3649336513465362
"3, 2, 2, 1, 3",0.009517652484718813,-22.33995359154399,-1.3652347744079407
"3, 2, 2, 2, 1",0.009538399002738916,-22.221462316282064,-1.3651967915476488
